Route,Rating,URL,Pitches,Location,"Avg Stars","Your Stars","Route Type","Your Rating",Length,"Rating Code"
"Dish Flake Direct",V2,https://www.mountainproject.com/route/106936327/dish-flake-direct,1,"Colorado > Boulder > Mount Sanitas > Hawthorn Block",2.0,-1,Boulder,,,20200
"Dish Flake",V1,https://www.mountainproject.com/route/106936312/dish-flake,1,"Colorado > Boulder > Mount Sanitas > Hawthorn Block",1.9,-1,Boulder,,,20100
"Angry Evan",V1-2,https://www.mountainproject.com/route/106936367/angry-evan,1,"Colorado > Boulder > Mount Sanitas > Hawthorn Block",1.7,-1,Boulder,,,20150
"Left Arete",V0,https://www.mountainproject.com/route/120080325/left-arete,1,"Colorado > Boulder > Mount Sanitas > Sanitas Proper",1.8,-1,Boulder,,,20008
"Left Side",V-easy,https://www.mountainproject.com/route/108168636/left-side,1,"Colorado > Boulder > Mount Sanitas > Ridge Gap Wall",1.5,-1,Boulder,,10,20000
"Right Route",V0,https://www.mountainproject.com/route/105764073/right-route,1,"Colorado > Boulder > Mount Sanitas > Lower Fin",1.8,-1,Boulder,,20,20008
"Undercling Fin",V0,https://www.mountainproject.com/route/106140383/undercling-fin,1,"Colorado > Boulder > Mount Sanitas > Lower Fin",1.9,-1,Boulder,,15,20008
"North Shelf Traverse",V2,https://www.mountainproject.com/route/105757819/north-shelf-traverse,1,"Colorado > Boulder > Mount Sanitas > North Shelf Block",2.3,-1,Boulder,,,20200
"Improper Traverse",V0,https://www.mountainproject.com/route/106470153/improper-traverse,1,"Colorado > Boulder > Mount Sanitas > Sanitas Proper",1.5,-1,Boulder,,,20008
"Ridge Gap Traverse",V0,https://www.mountainproject.com/route/108168602/ridge-gap-traverse,1,"Colorado > Boulder > Mount Sanitas > Ridge Gap Wall",1.9,-1,Boulder,,40,20008
"Lower Fin Traverse",V2,https://www.mountainproject.com/route/105757855/lower-fin-traverse,1,"Colorado > Boulder > Mount Sanitas > Lower Fin",2.6,-1,Boulder,,,20200
Spam,V0,https://www.mountainproject.com/route/106626852/spam,1,"Colorado > Boulder > Eldorado Canyon State Park > Eldorado Canyon Bouldering > West World > The Tasty Slab",1.3,-1,Boulder,,8,20008
ALA,V1-,https://www.mountainproject.com/route/126537797/ala,1,"Colorado > Boulder > Eldorado Canyon State Park > Eldorado Canyon Bouldering > Milton Boulder",2.9,-1,Boulder,,10,20075
"That Flakes It Arete",V1,https://www.mountainproject.com/route/108275877/that-flakes-it-arete,1,"Colorado > Boulder > Flagstaff > The Dark Side > That Flakes It Overhang",2.2,-1,Boulder,,13,20100
"Pedestal Traverse",V2+,https://www.mountainproject.com/route/105750988/pedestal-traverse,1,"Colorado > Boulder > Flagstaff > Golf Club Boulder",2.3,-1,Boulder,,,20210
"Road Bloc",V1+,https://www.mountainproject.com/route/122501653/road-bloc,1,"Colorado > Boulder > Flagstaff > Road Bloc",2.0,-1,Boulder,,10,20110
"Erasable South Face Traverse",V1,https://www.mountainproject.com/route/110493346/erasable-south-face-traverse,1,"Colorado > Boulder > Flagstaff > Alamo Ridge > Erasable Boulder Complex",2.3,-1,Boulder,,15,20100
"The Long Traverse aka The Monkey Traverse",V4,https://www.mountainproject.com/route/105761538/the-long-traverse-aka-the-monkey-traverse,1,"Colorado > Boulder > Flagstaff > Monkey Traverse",3.5,-1,Boulder,,50,20400
"Heel Hook lessons",V2,https://www.mountainproject.com/route/114255816/heel-hook-lessons,1,"Colorado > Boulder > Flagstaff > Tutorial Rock",2.4,-1,Boulder,,10,20200
"Crystal Mantel",V3,https://www.mountainproject.com/route/105761424/crystal-mantel,1,"Colorado > Boulder > Flagstaff > Pebble Boulder",2.8,-1,Boulder,,10,20300
"Left V0",V0-,https://www.mountainproject.com/route/106214967/left-v0,1,"Colorado > Boulder > Flagstaff > North Rocks",1.6,-1,Boulder,,10,20005
"Right Boulder SDS",V0,https://www.mountainproject.com/route/108270999/right-boulder-sds,1,"Colorado > Boulder > Flagstaff > Fraggle Rocks",2.0,-1,Boulder,,10,20008
Y-Right,"V1 R",https://www.mountainproject.com/route/106018349/y-right,1,"Colorado > Boulder > Flagstaff > Upper Y Traverse",3.2,-1,Boulder,,20,20100
"Upper Y Traverse",V3-4,https://www.mountainproject.com/route/105812105/upper-y-traverse,1,"Colorado > Boulder > Flagstaff > Upper Y Traverse",3.3,-1,Boulder,,40,20350
